,Rank (Borda),Model,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Public),Mean (Private),Mean (Task)
132,133,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),134,35M,512,512,,,
133,134,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),87,22M,384,512,,,
134,135,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),27126,7B,4096,32768,,,
135,136,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),1061,Unknown,768,514,,,
136,137,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),2136,559M,1024,514,,,
137,138,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),87,22M,384,512,,,
138,139,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),87,22M,384,512,,,
139,140,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),2136,559M,1024,514,,,
140,141,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),1061,278M,768,514,,,
141,142,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),1659,434M,1024,514,,,
142,143,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),73,19M,384,512,,,
143,144,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),66,17M,384,512,,,
144,145,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),475,124M,768,514,,,
145,146,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),1540,404M,1024,512,,,
146,147,[KartonBERT-USE-base-v1](https://huggingface.co/OrlikB/KartonBERT-USE-base-v1),396,103M,768,512,,,
147,148,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),449,117M,384,512,,,
