,Rank (Borda),Model,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Public),Mean (Private),Mean (Task)
76,77,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),418,109M,768,512,37.99,,
77,78,[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3),Unknown,Unknown,384,512,37.51,,
78,79,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),2166,567M,1024,8194,39.5,,
79,80,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),5887,1B,8960,131072,39.36,,
80,81,[mdbr-leaf-ir](https://huggingface.co/MongoDB/mdbr-leaf-ir),86,22M,768,512,37.55,,
81,81,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),127,33M,384,512,38.62,,
82,83,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),2441,1B,2048,2048,37.14,,
83,84,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),127,33M,384,256,31.65,23.91,29.71
84,85,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),2441,1B,2048,2048,36.87,,
85,86,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),127,32M,384,512,36.58,,
86,87,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),420,110M,768,512,35.96,,
87,87,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),413,108M,1024,Unknown,31.2,33.99,31.9
88,89,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),449,118M,768,512,29.72,53.63,35.7
89,89,[gte-small](https://huggingface.co/thenlper/gte-small),64,33M,384,512,36.43,,
90,91,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),2136,560M,1024,514,36.46,,
